fecha_respuesta,usa_nube,plataforma_nube,contenido_nube,nivel_conocimiento,manejo_ciberseguridad,frecuencia_info_seguridad,reconoce_phishing,identifica_herramientas_seguridad,estado_antivirus,tipo_conexion,estabilidad_conexion,frecuencia_fallas_internet,cambio_contrasenas_anual,reutiliza_contrasenas,importancia_actualizar_contrasenas
2025/11/20 11:36:58 a.m.,Sí,Google Drive,Documentos de universidad o trabajo,Media,2,A veces,Capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Internet móvil (datos celulares),5,Rara vez,1-3 veces,Nunca,3.0
2025/11/20 11:42:40 a.m.,No,No aplica,No aplica,Bajo,3,Rara vez,Capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,4,Rara vez,Más de 10 veces,Nunca,5.0
2025/11/20 11:42:44 a.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Bajo,1,Rara vez,Medianamente capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Router,3,Frecuentemente,1-3 veces,Nunca,3.0
2025/11/20 11:45:26 a.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Media,3,Frecuentemente,Capaz,Generalmente puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Nunca,1-3 veces,Frecuentemente,4.0
2025/11/20 11:52:14 a.m.,Sí,Google Drive,Fotos y videos personales,Bajo,2,Rara vez,Capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,Rara vez,1-3 veces,A veces,3.0
2025/11/20 12:19:12 p.m.,No,No aplica,No aplica,Alta,4,Frecuentemente,Capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Fibra óptica,4,Rara vez,3-5 veces,Nunca,5.0
2025/11/20 12:36:28 p.m.,Sí,iCloud,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Media,3,Rara vez,Medianamente capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,4,A veces,3-5 veces,Rara vez,4.0
2025/11/20 12:38:02 p.m.,Sí,OneDrive,Documentos de universidad o trabajo;Fotos y videos personales,Media,3,Frecuentemente,Medianamente capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,A veces,1-3 veces,A veces,3.0
2025/11/20 12:38:39 p.m.,No,No aplica,No aplica,Bajo,1,Nunca,Nada capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),1,Rara vez,0 veces,Nunca,5.0
2025/11/20 12:41:34 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Media,3,Rara vez,Muy capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),3,Muy frecuentemente,6-10 veces,A veces,5.0
2025/11/20 12:42:03 p.m.,No,No aplica,No aplica,Media,4,Rara vez,Medianamente capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Internet móvil (datos celulares),3,A veces,6-10 veces,A veces,3.0
2025/11/20 12:44:29 p.m.,No,No aplica,No aplica,Bajo,3,Rara vez,Capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Cable coaxial,3,Rara vez,1-3 veces,Frecuentemente,2.0
2025/11/20 12:50:48 p.m.,Sí,iCloud,Fotos y videos personales,Media,3,Rara vez,Medianamente capaz,No sé identificarlo,"Sí uso, pero no están actualizadas",Cable coaxial,1,Muy frecuentemente,0 veces,A veces,4.0
2025/11/20 12:52:17 p.m.,Sí,Google Drive,Fotos y videos personales,Bajo,1,Rara vez,Capaz,Generalmente puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,5,A veces,1-3 veces,Rara vez,3.0
2025/11/20 12:52:28 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales,Media,3,Rara vez,Muy capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Satelital,5,Rara vez,3-5 veces,A veces,5.0
2025/11/20 12:54:03 p.m.,Sí,OneDrive,Archivos para compartir con otras personas,Muy alta,5,A veces,Muy capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",ADSL,5,A veces,Más de 10 veces,Nunca,5.0
2025/11/20 12:57:18 p.m.,No,No aplica,No aplica,Alta,3,A veces,Nada capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,A veces,1-3 veces,Nunca,5.0
2025/11/20 1:03:18 p.m.,Sí,Google Drive,Fotos y videos personales,Bajo,1,Rara vez,Nada capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Cable coaxial,4,Rara vez,1-3 veces,Rara vez,5.0
2025/11/20 1:05:02 p.m.,Sí,Google Drive,Fotos y videos personales,Media,3,A veces,Poco capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Cable coaxial,4,Rara vez,1-3 veces,Rara vez,3.0
2025/11/20 1:06:14 p.m.,No,No aplica,No aplica,Media,3,Rara vez,Poco capaz,A veces puedo identificarlo,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Nunca,1-3 veces,Rara vez,5.0
2025/11/20 1:11:45 p.m.,Sí,Google Drive,Fotos y videos personales,Muy bajo,3,A veces,Muy capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Internet móvil (datos celulares),4,Rara vez,1-3 veces,A veces,5.0
2025/11/20 1:22:38 p.m.,Sí,Google foto,Fotos y videos personales,Bajo,1,A veces,Poco capaz,Pocas veces logro identificarlos,"Sí, pero están parcialmente actualizadas",Fibra óptica,3,Frecuentemente,6-10 veces,A veces,5.0
2025/11/20 1:30:11 p.m.,Sí,OneDrive,Documentos de universidad o trabajo;Fotos y videos personales,Media,3,Frecuentemente,Medianamente capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,3,A veces,1-3 veces,A veces,3.0
2025/11/20 1:38:57 p.m.,Sí,Google Drive,Fotos y videos personales,Alta,4,A veces,Poco capaz,Pocas veces logro identificarlos,"Sí, pero están parcialmente actualizadas",Cable coaxial,3,A veces,Más de 10 veces,Nunca,5.0
2025/11/20 1:40:26 p.m.,No,No aplica,No aplica,Media,2,Nunca,Muy capaz,No sé identificarlo,"Sí uso, pero no están actualizadas",No cuento con conexión a internet en mi hogar,3,Rara vez,1-3 veces,Nunca,3.0
2025/11/20 1:53:15 p.m.,Sí,iCloud,Fotos y videos personales,Media,2,Rara vez,Medianamente capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,Rara vez,1-3 veces,Siempre,5.0
2025/11/20 1:56:26 p.m.,Sí,iCloud,Fotos y videos personales,Media,4,A veces,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Satelital,4,Rara vez,0 veces,Siempre,1.0
2025/11/20 3:54:14 p.m.,Sí,iCloud,Fotos y videos personales,Media,5,Rara vez,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Cable coaxial,1,Frecuentemente,1-3 veces,A veces,5.0
2025/11/20 4:21:06 p.m.,Sí,iCloud,Fotos y videos personales,Bajo,2,Rara vez,Medianamente capaz,Pocas veces logro identificarlos,"Sí, pero están parcialmente actualizadas",Fibra óptica,4,Rara vez,3-5 veces,Rara vez,5.0
2025/11/20 4:23:47 p.m.,Sí,OneDrive,Documentos de universidad o trabajo;Fotos y videos personales,Media,4,A veces,Capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Internet móvil (datos celulares),4,A veces,6-10 veces,Rara vez,5.0
2025/11/20 4:47:52 p.m.,No,No aplica,No aplica,Bajo,2,Rara vez,Nada capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),3,A veces,1-3 veces,Siempre,4.0
2025/11/20 4:50:03 p.m.,No,No aplica,No aplica,Media,3,Rara vez,Capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),5,Rara vez,Más de 10 veces,Nunca,5.0
2025/11/20 4:52:45 p.m.,Sí,OneDrive,Documentos de universidad o trabajo,Bajo,1,Rara vez,Poco capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),1,A veces,1-3 veces,A veces,5.0
2025/11/20 4:59:28 p.m.,Sí,iCloud,Fotos y videos personales,Alta,5,A veces,Muy capaz,Generalmente puedo identificarlo,"Sí, y están actualizadas",Satelital,5,Rara vez,1-3 veces,Nunca,5.0
2025/11/20 5:20:50 p.m.,Sí,Google Drive,Fotos y videos personales,Bajo,1,Nunca,Medianamente capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Internet móvil (datos celulares),3,Rara vez,0 veces,Rara vez,3.0
2025/11/20 6:07:16 p.m.,No,No aplica,No aplica,Media,3,Frecuentemente,Poco capaz,No sé identificarlo,No uso ningún tipo de herramienta de seguridad,Cable coaxial,3,Rara vez,3-5 veces,Rara vez,4.0
2025/11/20 6:51:13 p.m.,No,No aplica,No aplica,Bajo,4,Rara vez,Poco capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Internet móvil (datos celulares),3,A veces,1-3 veces,Rara vez,4.0
2025/11/20 6:53:58 p.m.,No,No aplica,No aplica,Muy bajo,3,Frecuentemente,Capaz,Siempre puedo identificarlo con facilidad,"Sí, y están actualizadas",Cable coaxial,5,Rara vez,1-3 veces,Nunca,3.0
2025/11/20 7:46:02 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Bajo,3,A veces,Medianamente capaz,Pocas veces logro identificarlos,"Sí, y están actualizadas",Fibra óptica,5,Rara vez,0 veces,Nunca,3.0
2025/11/20 8:02:04 p.m.,No,No aplica,No aplica,Alta,4,Siempre,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Satelital,5,A veces,0 veces,Siempre,4.0
2025/11/20 8:02:47 p.m.,Sí,iCloud,Fotos y videos personales,Alta,4,A veces,Medianamente capaz,A veces puedo identificarlo,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),4,A veces,3-5 veces,Nunca,4.0
2025/11/20 8:10:34 p.m.,Sí,Google Drive,Fotos y videos personales,Bajo,5,Rara vez,Capaz,Pocas veces logro identificarlos,No uso ningún tipo de herramienta de seguridad,Fibra óptica,5,A veces,0 veces,Siempre,5.0
2025/11/20 8:52:05 p.m.,No,No aplica,No aplica,Alta,4,Rara vez,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Internet móvil (datos celulares),5,Rara vez,3-5 veces,A veces,3.0
2025/11/20 9:01:24 p.m.,Sí,iCloud,Fotos y videos personales,Media,3,Frecuentemente,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Fibra óptica,3,A veces,0 veces,Siempre,1.0
2025/11/20 9:09:45 p.m.,No,No aplica,No aplica,Media,3,Siempre,Capaz,Generalmente puedo identificarlo,"Sí, pero están parcialmente actualizadas",Satelital,4,Rara vez,3-5 veces,A veces,5.0
2025/11/20 9:23:54 p.m.,No,No aplica,No aplica,Alta,4,Rara vez,Capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,5,A veces,3-5 veces,A veces,5.0
2025/11/20 10:27:27 p.m.,Sí,Google Drive,Fotos y videos personales,Media,3,A veces,Capaz,A veces puedo identificarlo,"Sí, y están actualizadas",Cable coaxial,4,Frecuentemente,3-5 veces,Rara vez,4.0
2025/11/20 10:36:55 p.m.,Sí,Google Drive,Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas,Muy bajo,1,Rara vez,Nada capaz,Pocas veces logro identificarlos,"Sí, pero están parcialmente actualizadas",Fibra óptica,3,Frecuentemente,0 veces,Siempre,5.0
2025/11/20 11:03:26 p.m.,No,No aplica,No aplica,Muy bajo,1,Rara vez,Nada capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,4,Rara vez,1-3 veces,Frecuentemente,5.0
2025/11/21 4:54:17 a.m.,Sí,OneDrive,Fotos y videos personales;Archivos para compartir con otras personas,Media,3,A veces,Medianamente capaz,Pocas veces logro identificarlos,"Sí uso, pero no están actualizadas",Fibra óptica,4,Rara vez,0 veces,A veces,3.0
2025/11/21 6:46:01 a.m.,No,No aplica,No aplica,Media,3,A veces,Muy capaz,A veces puedo identificarlo,"Sí uso, pero no están actualizadas",Fibra óptica,4,A veces,0 veces,Rara vez,3.0
