"Marca temporal","1. ¿Acostumbra a guardar sus documentos o fotos en alguna plataforma de nube? 
(Un servicio en internet que permite almacenar y acceder a archivos desde cualquier dispositivo)","2. De las siguientes opciones, ¿cuál es la plataforma que más usa?","3. ¿Qué tipo de contenido guarda con mayor frecuencia en la nube?","4. ¿Qué nivel de conocimiento considera que tiene sobre el concepto de ciberseguridad?  ","5. ¿Qué tan bien crees que manejas tú los temas de ciberseguridad? 
(1 = Nada bien, 5 = Muy bien)","6. ¿Con qué periodicidad te llega información sobre seguridad digital, ya sea que la busques tú (cursos, videos, noticias) o que simplemente recibas consejos? ","7. ¿Qué tan seguro te sientes de poder identificar una estafa en línea o un intento de phishing? (Engaño en internet donde los delincuentes se hacen pasar por una empresa confiable para robar datos personales o bancarios.)","8. ¿Qué tan bien puede identificar si sus herramientas de seguridad (antivirus, etc.) están funcionando en sus dispositivos? ","9. ¿Utiliza antivirus u otras herramientas de seguridad digital en sus dispositivos?","10. ¿Qué tipo de conexión a internet utiliza principalmente en su hogar?","11. ¿Qué tan estable considera su conexión a internet?
(1 = Nada estable, 5 = Muy estable)","12. ¿Con qué frecuencia experimenta fallas o interrupciones en su servicio de internet?","13. ¿Cuántas veces al año cambia sus contraseñas personales, de trabajo e institucionales?","14. ¿Utiliza la misma contraseña para todas sus cuentas?","15. ¿Considera usted que es importante actualizar sus contraseñas anualmente?
(1= No importante, 5 =Muy importante)","","","","","",""
"2025/11/20 7:03:43 a.m. GMT-6","No","","","Media","3","A veces","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Internet móvil (datos celulares)","4","Rara vez","0 veces","A veces","1","","","","","",""
"2025/11/20 7:30:16 a.m. GMT-6","No","","","Media","3","Frecuentemente","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Internet móvil (datos celulares)","3","Rara vez","0 veces","Nunca","1","","","","","",""
"2025/11/20 7:43:50 a.m. GMT-6","No","","","Media","3","Frecuentemente","Medianamente capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","4","Rara vez","1-3 veces","A veces","3","","","","","",""
"2025/11/20 7:50:13 a.m. GMT-6","Sí","iCloud","Fotos y videos personales","Alta","4","A veces","Muy capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","4","A veces","1-3 veces","A veces","5","","","","","",""
"2025/11/20 8:15:36 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Alta","4","A veces","Capaz","Siempre puedo identificarlo con facilidad","Sí, pero están parcialmente actualizadas","Cable coaxial","4","Rara vez","6-10 veces","Rara vez","5","","","","","",""
"2025/11/20 8:18:20 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Alta","4","A veces","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","5","Rara vez","1-3 veces","A veces","5","","","","","",""
"2025/11/20 8:44:59 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Alta","4","Siempre","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Internet móvil (datos celulares)","5","Rara vez","3-5 veces","A veces","4","","","","","",""
"2025/11/20 9:04:11 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Alta","4","Frecuentemente","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","4","A veces","1-3 veces","Nunca","3","","","","","",""
"2025/11/20 9:07:52 a.m. GMT-6","Sí","iCloud","Fotos y videos personales;","Bajo","3","A veces","Muy capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","4","A veces","0 veces","Nunca","1","","","","","",""
"2025/11/20 9:40:34 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Media","2","A veces","Medianamente capaz","No sé identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","5","A veces","0 veces","A veces","2","","","","","",""
"2025/11/20 9:41:14 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","2","Rara vez","Capaz","Pocas veces logro identificarlos","Sí, pero están parcialmente actualizadas","Fibra óptica","5","Rara vez","0 veces","Nunca","3","","","","","",""
"2025/11/20 10:26:56 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","3","A veces","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","Cable coaxial","4","A veces","0 veces","Nunca","2","","","","","",""
"2025/11/20 11:07:36 a.m. GMT-6","No","","","Bajo","1","A veces","Medianamente capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Cable coaxial","4","A veces","0 veces","Nunca","5","","","","","",""
"2025/11/20 11:30:04 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Bajo","5","Rara vez","Poco capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","3","Rara vez","0 veces","Rara vez","1","","","","","",""
"2025/11/20 11:30:04 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Muy bajo","1","A veces","Poco capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","3","Muy frecuentemente","1-3 veces","Rara vez","1","","","","","",""
"2025/11/20 11:35:22 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Media","3","A veces","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","Internet móvil (datos celulares)","4","Rara vez","1-3 veces","A veces","3","","","","","",""
"2025/11/20 11:35:46 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Alta","5","Siempre","Capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","5","A veces","1-3 veces","A veces","5","","","","","",""
"2025/11/20 11:36:37 a.m. GMT-6","No","","","Media","5","A veces","Capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Fibra óptica","1","Frecuentemente","3-5 veces","Nunca","1","","","","","",""
"2025/11/20 11:36:58 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo","Media","2","A veces","Capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Internet móvil (datos celulares)","5","Rara vez","1-3 veces","Nunca","3","","","","","",""
"2025/11/20 11:42:40 a.m. GMT-6","No","","","Bajo","3","Rara vez","Capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","4","Rara vez","Más de 10 veces","Nunca","5","","","","","",""
"2025/11/20 11:42:44 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Bajo","1","Rara vez","Medianamente capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Router ","3","Frecuentemente","1-3 veces","Nunca","3","","","","","",""
"2025/11/20 11:45:26 a.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Media","3","Frecuentemente","Capaz","Generalmente puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Nunca","1-3 veces","Frecuentemente","4","","","","","",""
"2025/11/20 11:52:14 a.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Bajo","2","Rara vez","Capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","4","Rara vez","1-3 veces","A veces","3","","","","","",""
"2025/11/20 12:19:12 p.m. GMT-6","No","","","Alta","4","Frecuentemente","Capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Fibra óptica","4","Rara vez","3-5 veces","Nunca","5","","","","","",""
"2025/11/20 12:36:28 p.m. GMT-6","Sí","iCloud","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Media","3","Rara vez","Medianamente capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Fibra óptica","4","A veces","3-5 veces","Rara vez","4","","","","","",""
"2025/11/20 12:38:02 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Fotos y videos personales","Media","3","Frecuentemente","Medianamente capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Fibra óptica","4","A veces","1-3 veces","A veces","3","","","","","",""
"2025/11/20 12:38:39 p.m. GMT-6","No","","","Bajo","1","Nunca","Nada capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","1","Rara vez","0 veces","Nunca","5","","","","","",""
"2025/11/20 12:41:34 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Media","3","Rara vez","Muy capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","3","Muy frecuentemente","6-10 veces","A veces","5","","","","","",""
"2025/11/20 12:42:03 p.m. GMT-6","No","","","Media","4","Rara vez","Medianamente capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Internet móvil (datos celulares)","3","A veces","6-10 veces","A veces","3","","","","","",""
"2025/11/20 12:44:29 p.m. GMT-6","No","","","Bajo","3","Rara vez","Capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Cable coaxial","3","Rara vez","1-3 veces","Frecuentemente","2","","","","","",""
"2025/11/20 12:50:48 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","3","Rara vez","Medianamente capaz","No sé identificarlo","Sí uso, pero no están actualizadas","Cable coaxial","1","Muy frecuentemente","0 veces","A veces","4","","","","","",""
"2025/11/20 12:52:17 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Bajo","1","Rara vez","Capaz","Generalmente puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","5","A veces","1-3 veces","Rara vez","3","","","","","",""
"2025/11/20 12:52:28 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales","Media","3","Rara vez","Muy capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Satelital (Línea de Abonado Digital Asimétrica)","5","Rara vez","3-5 veces","A veces","5","","","","","",""
"2025/11/20 12:54:03 p.m. GMT-6","Sí","OneDrive","Archivos para compartir con otras personas","Muy alta","5","A veces","Muy capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","ADSL","5","A veces","Más de 10 veces","Nunca","5","","","","","",""
"2025/11/20 12:57:18 p.m. GMT-6","No","","","Alta","3","A veces","Nada capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","A veces","1-3 veces","Nunca","5","","","","","",""
"2025/11/20 1:03:18 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Bajo","1","Rara vez","Nada capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Cable coaxial","4","Rara vez","1-3 veces","Rara vez","5","","","","","",""
"2025/11/20 1:05:02 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","3","A veces","Poco capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Cable coaxial","4","Rara vez","1-3 veces","Rara vez","3","","","","","",""
"2025/11/20 1:06:14 p.m. GMT-6","No","","","Media","3","Rara vez","Poco capaz","A veces puedo identificarlo","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Nunca","1-3 veces","Rara vez","5","","","","","",""
"2025/11/20 1:11:45 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Muy bajo","3","A veces","Muy capaz","A veces puedo identificarlo","Sí, y están actualizadas","Internet móvil (datos celulares)","4","Rara vez","1-3 veces","A veces","5","","","","","",""
"2025/11/20 1:22:38 p.m. GMT-6","Sí","Google foto ","Fotos y videos personales","Bajo","1","A veces","Poco capaz","Pocas veces logro identificarlos","Sí, pero están parcialmente actualizadas","Fibra óptica","3","Frecuentemente","6-10 veces","A veces","5","","","","","",""
"2025/11/20 1:30:11 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Fotos y videos personales","Media","3","Frecuentemente","Medianamente capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","3","A veces","1-3 veces","A veces","3","","","","","",""
"2025/11/20 1:38:57 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Alta","4","A veces","Poco capaz","Pocas veces logro identificarlos","Sí, pero están parcialmente actualizadas","Cable coaxial","3","A veces","Más de 10 veces","Nunca","5","","","","","",""
"2025/11/20 1:40:26 p.m. GMT-6","No","","","Media","2","Nunca","Muy capaz","No sé identificarlo","Sí uso, pero no están actualizadas","No cuento con conexión a internet en mi hogar","3","Rara vez","1-3 veces","Nunca","3","","","","","",""
"2025/11/20 1:53:15 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","2","Rara vez","Medianamente capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","Rara vez","1-3 veces","Siempre","5","","","","","",""
"2025/11/20 1:56:26 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","4","A veces","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Satelital (Línea de Abonado Digital Asimétrica)","4","Rara vez","0 veces","Siempre","1","","","","","",""
"2025/11/20 3:54:14 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","5","Rara vez","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Cable coaxial","1","Frecuentemente","1-3 veces","A veces","5","","","","","",""
"2025/11/20 4:21:06 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Bajo","2","Rara vez","Medianamente capaz","Pocas veces logro identificarlos","Sí, pero están parcialmente actualizadas","Fibra óptica","4","Rara vez","3-5 veces","Rara vez","5","","","","","",""
"2025/11/20 4:23:47 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo;Fotos y videos personales","Media","4","A veces","Capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Internet móvil (datos celulares)","4","A veces","6-10 veces","Rara vez","5","","","","","",""
"2025/11/20 4:47:52 p.m. GMT-6","No","","","Bajo","2","Rara vez","Nada capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","3","A veces","1-3 veces","Siempre","4","","","","","",""
"2025/11/20 4:50:03 p.m. GMT-6","No","","","Media","3","Rara vez","Capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","5","Rara vez","Más de 10 veces","Nunca","5","","","","","",""
"2025/11/20 4:52:45 p.m. GMT-6","Sí","OneDrive","Documentos de universidad o trabajo","Bajo","1","Rara vez","Poco capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","1","A veces","1-3 veces","A veces","5","","","","","",""
"2025/11/20 4:59:28 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Alta","5","A veces","Muy capaz","Generalmente puedo identificarlo","Sí, y están actualizadas","Satelital (Línea de Abonado Digital Asimétrica)","5","Rara vez","1-3 veces","Nunca","5","","","","","",""
"2025/11/20 5:20:50 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Bajo","1","Nunca","Medianamente capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Internet móvil (datos celulares)","3","Rara vez","0 veces","Rara vez","3","","","","","",""
"2025/11/20 6:07:16 p.m. GMT-6","No","","","Media","3","Frecuentemente","Poco capaz","No sé identificarlo","No uso ningún tipo de herramienta de seguridad","Cable coaxial","3","Rara vez","3-5 veces","Rara vez","4","","","","","",""
"2025/11/20 6:51:13 p.m. GMT-6","No","","","Bajo","4","Rara vez","Poco capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Internet móvil (datos celulares)","3","A veces","1-3 veces","Rara vez","4","","","","","",""
"2025/11/20 6:53:58 p.m. GMT-6","No","","","Muy bajo","3","Frecuentemente","Capaz","Siempre puedo identificarlo con facilidad","Sí, y están actualizadas","Cable coaxial","5","Rara vez","1-3 veces","Nunca","3","","","","","",""
"2025/11/20 7:46:02 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Bajo","3","A veces","Medianamente capaz","Pocas veces logro identificarlos","Sí, y están actualizadas","Fibra óptica","5","Rara vez","0 veces","Nunca","3","","","","","",""
"2025/11/20 8:02:04 p.m. GMT-6","No","","","Alta","4","Siempre","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Satelital (Línea de Abonado Digital Asimétrica)","5","A veces","0 veces","Siempre","4","","","","","",""
"2025/11/20 8:02:47 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Alta","4","A veces","Medianamente capaz","A veces puedo identificarlo","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","4","A veces","3-5 veces","Nunca","4","","","","","",""
"2025/11/20 8:10:34 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Bajo","5","Rara vez","Capaz","Pocas veces logro identificarlos","No uso ningún tipo de herramienta de seguridad","Fibra óptica","5","A veces","0 veces","Siempre","5","","","","","",""
"2025/11/20 8:52:05 p.m. GMT-6","No","","","Alta","4","Rara vez","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Internet móvil (datos celulares)","5","Rara vez","3-5 veces","A veces","3","","","","","",""
"2025/11/20 9:01:24 p.m. GMT-6","Sí","iCloud","Fotos y videos personales","Media","3","Frecuentemente","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","Fibra óptica","3","A veces","0 veces","Siempre","1","","","","","",""
"2025/11/20 9:09:45 p.m. GMT-6","No","","","Media","3","Siempre","Capaz","Generalmente puedo identificarlo","Sí, pero están parcialmente actualizadas","Satelital (Línea de Abonado Digital Asimétrica)","4","Rara vez","3-5 veces","A veces","5","","","","","",""
"2025/11/20 9:23:54 p.m. GMT-6","No","","","Alta","4","Rara vez","Capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","5","A veces","3-5 veces","A veces","5","","","","","",""
"2025/11/20 10:27:27 p.m. GMT-6","Sí","Google Drive","Fotos y videos personales","Media","3","A veces","Capaz","A veces puedo identificarlo","Sí, y están actualizadas","Cable coaxial","4","Frecuentemente","3-5 veces","Rara vez","4","","","","","",""
"2025/11/20 10:36:55 p.m. GMT-6","Sí","Google Drive","Documentos de universidad o trabajo;Fotos y videos personales;Archivos para compartir con otras personas","Muy bajo","1","Rara vez","Nada capaz","Pocas veces logro identificarlos","Sí, pero están parcialmente actualizadas","Fibra óptica","3","Frecuentemente","0 veces","Siempre","5","","","","","",""
"2025/11/20 11:03:26 p.m. GMT-6","No","","","Muy bajo","1","Rara vez","Nada capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","4","Rara vez","1-3 veces","Frecuentemente","5","","","","","",""
"2025/11/21 4:54:17 a.m. GMT-6","Sí","OneDrive","Fotos y videos personales;Archivos para compartir con otras personas","Media","3","A veces","Medianamente capaz","Pocas veces logro identificarlos","Sí uso, pero no están actualizadas","Fibra óptica","4","Rara vez","0 veces","A veces","3","","","","","",""
"2025/11/21 6:46:01 a.m. GMT-6","No","","","Media","3","A veces","Muy capaz","A veces puedo identificarlo","Sí uso, pero no están actualizadas","Fibra óptica","4","A veces","0 veces","Rara vez","3","","","","","",""
